### CONFIGURATION ##############################################################
accept_delay          :                          50 integer           (default)
address_ranges        :                             string            (default)
bootstrap_size        :                        1000 integer                    
conn_mod              :    aesim_connection_default atom              (default)
connect_delay         :                         100 integer           (default)
connect_period        :                           0 integer_infinity  (default)
disconnect_delay      :                          50 integer           (default)
first_ping_delay      :                         100 time              (default)
gossiped_neighbours   :                           8 integer                    
limit_outbound_groups :                       false boolean           (default)
max_inbound           :                        1000 integer_infinity           
max_nodes             :                        2000 integer                    
max_outbound          :                          20 integer_infinity           
max_real_time         :                    infinity time_infinity     (default)
max_sim_time          :                          3h time_infinity              
node_mod              :          aesim_node_default atom              (default)
node_start_period     :                         30s time              (default)
ping_period           :                          2m time              (default)
pong_delay            :                         100 time              (default)
pool_mod              :           aesim_pool_simple atom              (default)
progress_interval     :                          1s time              (default)
reject_delay          :                          50 integer           (default)
reject_iprob          :                          99 integer                    
rrd_enabled           :                        true boolean                    
rrd_ignore_trusted    :                       false boolean           (default)
scenario_mod          :      aesim_scenario_default atom              (default)
soft_max_inbound      :                         100 integer_infinity           
trusted_count         :                           2 integer           (default)
### SIMULATION #################################################################
PROGRESS     REAL-TIME      SIM-TIME CURR-SPEED GLOB-SPEED NODES   CONNS  EVENTS
      1%   0h00m01s000   0h01m51s200       111x       111x  1003    1038    1653
      1%   0h00m02s000   0h03m22s100        91x       101x  1006    1008    1769
      2%   0h00m03s000   0h04m38s000        76x        93x  1009     654    1763
      3%   0h00m04s000   0h05m58s850        81x        90x  1011    1402    2548
      3%   0h00m05s000   0h07m09s350        71x        86x  1014    2668    3102
      4%   0h00m06s005   0h08m15s250        66x        82x  1016    1598    2755
      5%   0h00m07s005   0h09m15s700        60x        79x  1018    1615    2772
      5%   0h00m08s005   0h10m11s300        56x        76x  1020    1569    2681
      6%   0h00m09s005   0h11m01s900        51x        74x  1022    2505    3671
      6%   0h00m10s005   0h11m52s500        51x        71x  1023    1728    2895
      7%   0h00m11s005   0h12m37s800        45x        69x  1025    1388    2590
      7%   0h00m12s005   0h13m18s100        40x        66x  1026    2604    3760
      7%   0h00m13s005   0h13m58s550        40x        64x  1027    2514    3622
      8%   0h00m14s005   0h14m39s150        41x        63x  1029    2372    3503
      8%   0h00m15s005   0h15m14s150        35x        61x  1030    3857    4604
      8%   0h00m16s005   0h15m44s600        30x        59x  1031    3945    4909
      9%   0h00m17s005   0h16m15s850        31x        57x  1032    2129    3307
      9%   0h00m18s005   0h16m45s500        30x        56x  1033    2836    4006
      9%   0h00m19s005   0h17m15s350        30x        54x  1034    2753    3770
      9%   0h00m20s005   0h17m35s800        20x        53x  1035    4583    5739
     10%   0h00m21s005   0h18m01s400        26x        51x  1036    2866    4051
     10%   0h00m22s005   0h18m30s550        29x        50x  1037    2756    3936
     10%   0h00m23s005   0h18m51s550        21x        49x  1037    4686    5831
     10%   0h00m24s005   0h19m12s300        21x        48x  1038    3182    4346
     10%   0h00m25s005   0h19m33s800        22x        47x  1039    3124    4291
